account_number,company,transaction_amount,transaction_date
35927483,Reyes PLC,61.72,2024-02-05
56124453,"Trujillo, Ewing and Young",83.54,2024-07-26
35927483,"Martin, Fuentes and Owens",65.33,2024-05-21
35495640,"Smith, Smith and Sanford",38.13,2024-06-28
35495640,Monroe-Howard,77.99,2024-01-19
35927483,"Hamilton, Brown and Vincent",12.27,2024-06-19
56124453,Sanchez-Meyers,75.6,2024-06-28
35927483,"Hamilton, Brown and Vincent",31.77,2024-04-13
35495640,"Castillo, Hill and Lee",54.02,2024-01-30
56124453,"Castillo, Hill and Lee",63.83,2024-04-20
35495640,"Evans, Young and Dean",75.24,2024-02-24
35927483,Reyes PLC,30.32,2024-03-21
56124453,Gomez-Hunt,68.19,2024-04-18
56124453,Jones and Sons,79.3,2024-02-01
56124453,Hayes-Rios,98.86,2024-01-13
35927483,Sanchez-Meyers,38.88,2024-03-03
56124453,Hester-Thomas,50.74,2024-01-03
35495640,"Trujillo, Ewing and Young",23.08,2024-04-12
35927483,Monroe-Howard,81.11,2024-01-29
35495640,Gomez-Hunt,65.25,2024-01-01
35927483,Davis-Kennedy,55.78,2024-03-27
56124453,"Rhodes, Miller and Jackson",77.97,2024-02-05
35927483,"Greene, Martin and Benson",12.92,2024-03-23
35495640,"Rodriguez, Ray and Romero",15.77,2024-02-03
35495640,"Rhodes, Miller and Jackson",81.77,2024-04-18
56124453,"Castillo, Hill and Lee",13.33,2024-02-01
56124453,"Barnes, Young and Sanchez",79.51,2024-03-02
56124453,Allen Ltd,8.81,2024-04-26
56124453,Hughes Inc,89.49,2024-05-31
35927483,Davis-Kennedy,3.93,2024-02-05
35927483,Reyes PLC,77.36,2024-04-05
56124453,"Castillo, Hill and Lee",16.83,2024-04-05
35495640,"Trujillo, Ewing and Young",3.04,2024-04-12
35495640,"Suarez, Russell and Coleman",18.71,2024-02-05
35495640,Smith-Daniels,2.97,2024-06-10
35495640,"Trujillo, Ewing and Young",25.67,2024-05-16
35495640,"Rhodes, Miller and Jackson",47.83,2024-05-18
56124453,"Smith, Smith and Sanford",30.05,2024-07-29
35495640,"Rhodes, Miller and Jackson",36.57,2024-02-23
35495640,"Rodriguez, Ray and Romero",13.16,2024-06-12
35495640,Davis-Mcgee,65.28,2024-01-12
35927483,Jones and Sons,39.33,2024-01-03
35495640,Sanchez-Meyers,99.86,2024-06-07
56124453,Davis-Mcgee,64.24,2024-05-25
35927483,"Hamilton, Brown and Vincent",92.52,2024-01-23
35495640,"Thomas, Walker and Craig",24.7,2024-03-15
35495640,Brown-Shaffer,58.65,2024-01-27
35495640,Davis-Kennedy,0.99,2024-04-27
56124453,Monroe-Howard,99.19,2024-03-18
35495640,Hayes-Rios,89.65,2024-04-24
35927483,"Rhodes, Miller and Jackson",23.39,2024-05-08
35927483,Smith-Daniels,51.23,2024-05-29
35927483,Monroe-Howard,37.62,2024-05-15
35927483,Allen Ltd,78.57,2024-01-23
35495640,"Nguyen, Walker and Church",10.3,2024-01-25
35495640,Hester-Thomas,70.9,2024-06-03
35495640,Allen Ltd,60.51,2024-03-28
35495640,"Figueroa, Stark and Ferguson",32.02,2024-06-18
35495640,Weber-Lynch,59.11,2024-05-07
35927483,Carpenter PLC,45.76,2024-07-17
35495640,"Barnes, Young and Sanchez",9.26,2024-06-21
35495640,Hester-Thomas,12.13,2024-07-05
56124453,"Trujillo, Ewing and Young",2.0,2024-03-07
35927483,"Trujillo, Ewing and Young",83.6,2024-01-26
35495640,"Greene, Martin and Benson",98.56,2024-05-21
56124453,"Smith, Smith and Sanford",10.01,2024-02-19
35495640,"Barnes, Young and Sanchez",0.43,2024-07-18
35495640,Hughes Inc,80.05,2024-05-05
35495640,"Trujillo, Ewing and Young",96.94,2024-06-16
35927483,"Smith, Smith and Sanford",67.63,2024-05-03
35927483,Monroe-Howard,36.38,2024-02-28
35495640,Hughes Inc,63.37,2024-01-10
35927483,Carpenter PLC,8.14,2024-04-06
35927483,Davis-Ramos,88.13,2024-07-08
56124453,"Martin, Fuentes and Owens",64.53,2024-07-02
35495640,Hayes-Rios,42.79,2024-07-06
56124453,"Hamilton, Brown and Vincent",82.37,2024-03-07
35495640,"Hamilton, Brown and Vincent",90.43,2024-01-30
56124453,Davis-Mcgee,26.35,2024-06-03
35927483,Davis-Kennedy,57.22,2024-04-16
35495640,Davis-Kennedy,22.63,2024-02-25
35927483,Davis-Kennedy,43.7,2024-04-11
35927483,"Rodriguez, Ray and Romero",63.65,2024-05-16
56124453,Hayes-Rios,91.14,2024-01-15
56124453,Monroe-Howard,9.37,2024-02-06
56124453,"Hamilton, Brown and Vincent",50.47,2024-01-30
56124453,Smith-Daniels,83.42,2024-05-22
35495640,Hughes Inc,25.29,2024-07-04
35495640,Monroe-Howard,8.32,2024-07-26
35495640,Smith-Daniels,1.15,2024-07-07
35927483,"Nguyen, Walker and Church",89.05,2024-05-21
35495640,"Suarez, Russell and Coleman",48.77,2024-01-05
35495640,Jones and Sons,55.25,2024-02-29
35927483,Sanchez-Meyers,8.56,2024-03-16
35927483,Jones and Sons,12.59,2024-04-19
35927483,"Nguyen, Walker and Church",78.76,2024-04-09
35927483,"Rhodes, Miller and Jackson",84.45,2024-01-07
56124453,Gomez-Hunt,31.67,2024-07-27
56124453,"Martin, Fuentes and Owens",39.59,2024-05-04
56124453,"Nguyen, Walker and Church",5.52,2024-03-05
56124453,Weber-Lynch,51.41,2024-01-18
35927483,Hayes-Rios,70.57,2024-05-05
35927483,"Rodriguez, Ray and Romero",77.53,2024-04-10
56124453,Hayes-Rios,40.62,2024-03-21
35927483,Hester-Thomas,9.12,2024-03-28
35495640,Hughes Inc,29.25,2024-05-28
35495640,Davis-Ramos,15.75,2024-05-19
35495640,Carpenter PLC,17.19,2024-03-05
56124453,Hester-Thomas,65.97,2024-03-22
56124453,Brown-Shaffer,85.91,2024-04-17
35927483,"Rhodes, Miller and Jackson",4.63,2024-03-26
35927483,"Nguyen, Walker and Church",63.71,2024-06-16
56124453,"Evans, Young and Dean",35.2,2024-07-08
35495640,"Nguyen, Walker and Church",21.23,2024-02-03
35927483,"Rhodes, Miller and Jackson",64.71,2024-04-08
56124453,"Hamilton, Brown and Vincent",94.05,2024-02-11
35495640,"Suarez, Russell and Coleman",9.86,2024-04-05
35927483,Davis-Kennedy,38.91,2024-03-14
35927483,"Castillo, Hill and Lee",36.65,2024-05-03
35927483,"Rhodes, Miller and Jackson",58.2,2024-04-04
35495640,Davis-Ramos,78.79,2024-03-10
35927483,"Smith, Smith and Sanford",16.84,2024-03-22
35927483,"Thomas, Walker and Craig",42.4,2024-02-18
56124453,"Castillo, Hill and Lee",64.72,2024-07-22
35927483,Carpenter PLC,70.14,2024-01-31
35495640,Sanchez-Meyers,25.22,2024-06-18
35927483,Hayes-Rios,52.06,2024-03-16
35927483,"Castillo, Hill and Lee",42.75,2024-01-22
35927483,Jones and Sons,26.21,2024-04-14
56124453,"Evans, Young and Dean",1.98,2024-01-29
35927483,Hayes-Rios,42.57,2024-06-23
56124453,"Nguyen, Walker and Church",17.8,2024-05-24
35927483,"Rhodes, Miller and Jackson",33.5,2024-02-13
35495640,"Evans, Young and Dean",27.54,2024-06-02
56124453,"Rodriguez, Ray and Romero",51.59,2024-02-16
35927483,"Thomas, Walker and Craig",96.58,2024-06-23
35495640,"Evans, Young and Dean",39.37,2024-02-05
35495640,"Thomas, Walker and Craig",82.57,2024-01-21
56124453,"Evans, Young and Dean",88.38,2024-07-18
56124453,"Hamilton, Brown and Vincent",50.25,2024-01-24
56124453,"Rhodes, Miller and Jackson",52.77,2024-01-24
35495640,Smith-Daniels,22.96,2024-06-17
35495640,Davis-Kennedy,72.91,2024-05-15
35495640,"Castillo, Hill and Lee",34.68,2024-01-02
35927483,"Hamilton, Brown and Vincent",66.18,2024-05-03
56124453,"Hamilton, Brown and Vincent",13.6,2024-04-02
35495640,Davis-Mcgee,67.58,2024-04-28
56124453,Hayes-Rios,35.24,2024-01-17
35495640,Hughes Inc,54.4,2024-02-24
56124453,"Evans, Young and Dean",79.5,2024-05-01
35927483,"Martin, Fuentes and Owens",74.87,2024-05-22
56124453,"Hamilton, Brown and Vincent",62.51,2024-01-26
35495640,"Martin, Fuentes and Owens",28.33,2024-03-31
56124453,"Suarez, Russell and Coleman",42.54,2024-06-05
35495640,Allen Ltd,73.3,2024-05-28
56124453,Hayes-Rios,80.09,2024-04-10
35495640,"Nguyen, Walker and Church",4.72,2024-04-18
35927483,Smith-Daniels,88.05,2024-01-13
35495640,"Rhodes, Miller and Jackson",16.39,2024-02-24
35495640,"Nguyen, Walker and Church",55.52,2024-03-30
56124453,Reyes PLC,16.76,2024-06-19
35927483,"Thomas, Walker and Craig",76.22,2024-06-05
35927483,"Greene, Martin and Benson",62.51,2024-02-16
35495640,Carpenter PLC,1.37,2024-04-21
56124453,"Castillo, Hill and Lee",2.89,2024-01-28
35927483,Jones and Sons,55.96,2024-04-10
56124453,Hughes Inc,27.85,2024-07-27
56124453,"Castillo, Hill and Lee",71.5,2024-07-05
56124453,Jones and Sons,51.72,2024-05-10
35927483,Reyes PLC,65.57,2024-07-21
56124453,"Castillo, Hill and Lee",52.06,2024-02-03
56124453,"Smith, Smith and Sanford",8.76,2024-06-05
